year,item,item_code,country,value
,,,,Population totale
2013,Population,2501,Arménie,2977
2013,Population,2501,Afghanistan,30552
2013,Population,2501,Albanie,3173
2013,Population,2501,Algérie,39208
2013,Population,2501,Angola,21472
2013,Population,2501,Antigua-et-Barbuda,90
2013,Population,2501,Argentine,41446
2013,Population,2501,Australie,23343
2013,Population,2501,Autriche,8495
2013,Population,2501,Bahamas,377
2013,Population,2501,Barbade,285
2013,Population,2501,Bangladesh,156595
2013,Population,2501,Bermudes,65
2013,Population,2501,Bolivie (État plurinational de),10671
2013,Population,2501,Botswana,2021
2013,Population,2501,Brésil,200362
2013,Population,2501,Belize,332
2013,Population,2501,Îles Salomon,561
2013,Population,2501,Brunéi Darussalam,418
2013,Population,2501,Bulgarie,7223
2013,Population,2501,Myanmar,53259
2013,Population,2501,Cameroun,22254
2013,Population,2501,Canada,35182
2013,Population,2501,Cabo Verde,499
2013,Population,2501,République centrafricaine,4616
2013,Population,2501,Sri Lanka,21273
2013,Population,2501,Tchad,12825
2013,Population,2501,Chili,17620
2013,Population,2501,"Chine, continentale",1385567
2013,Population,2501,Colombie,48321
2013,Population,2501,Congo,4448
2013,Population,2501,Costa Rica,4872
2013,Population,2501,Cuba,11266
2013,Population,2501,Chypre,1141
2013,Population,2501,Azerbaïdjan,9413
2013,Population,2501,Bénin,10323
2013,Population,2501,Danemark,5619
2013,Population,2501,Dominique,72
2013,Population,2501,République dominicaine,10404
2013,Population,2501,Bélarus,9357
2013,Population,2501,Équateur,15738
2013,Population,2501,Égypte,82056
2013,Population,2501,El Salvador,6340
2013,Population,2501,Estonie,1287
2013,Population,2501,Fidji,881
2013,Population,2501,Finlande,5426
2013,Population,2501,France,64291
2013,Population,2501,Polynésie française,277
2013,Population,2501,Djibouti,873
2013,Population,2501,Géorgie,4341
2013,Population,2501,Gabon,1672
2013,Population,2501,Gambie,1849
2013,Population,2501,Allemagne,82727
2013,Population,2501,Bosnie-Herzégovine,3829
2013,Population,2501,Ghana,25905
2013,Population,2501,Kiribati,102
2013,Population,2501,Grèce,11128
2013,Population,2501,Grenade,106
2013,Population,2501,Guatemala,15468
2013,Population,2501,Guinée,11745
2013,Population,2501,Guyana,800
2013,Population,2501,Haïti,10317
2013,Population,2501,Honduras,8096
2013,Population,2501,Chine - RAS de Hong-Kong,7204
2013,Population,2501,Hongrie,9955
2013,Population,2501,Croatie,4290
2013,Population,2501,Islande,330
2013,Population,2501,Inde,1252140
2013,Population,2501,Indonésie,249866
2013,Population,2501,Iran (République islamique d'),77447
2013,Population,2501,Iraq,33765
2013,Population,2501,Irlande,4627
2013,Population,2501,Israël,7733
2013,Population,2501,Italie,60990
2013,Population,2501,Côte d'Ivoire,20316
2013,Population,2501,Kazakhstan,16441
